Time,RSSI(dBm),SNR(dB),RSRP(dBm),RSRQ(dB),CELL RSSI(dBm),CELL RSRP(dBm),CELL RSRQ(dB),AVAILABLE BANDWIDTH(MHz),SENT BYTES,RATE(MBit/s)
10:01:32,-62,14,-92,-8,-57.6,-90.7,-11.4,20,152837992,21.349496
10:01:37,-62,14,-92,-8,-65,-91.7,-7.6,20,171673844,30.1373632
10:01:41,-62,12.6,-92,-8,-57.8,-92,-8.1,20,189810130,36.272572
10:01:46,-62,13,-92,-8,-64.6,-91.8,-7.8,20,208875176,30.5040736
10:01:51,-62,12.6,-92,-8,-57.9,-91.9,-7.3,20,228469016,31.350144
10:01:55,-62,12.8,-92,-8,-64.1,-91.6,-8.1,20,247799208,38.660384
10:02:00,-62,13,-92,-8,-65.4,-91.8,-8.8,20,265424676,28.2007488
10:02:04,-62,12.8,-92,-8,-58.5,-91.9,-7.7,20,283851574,36.853796
10:02:09,-62,12.6,-92,-8,-65.3,-92,-7.1,20,303277638,31.0817024
10:02:13,-62,12.6,-92,-8,-62.5,-92.1,-8.5,20,309984184,13.413092
11:27:04,-67,7.6,-97,-10,-62.7,-96.9,-9.7,20,61747608,23.557548
11:27:09,-67,9,-97,-10,-68,-96.8,-9.6,20,71406712,15.4545664
11:27:13,-67,6.2,-97,-10,-65.1,-96.9,-9.6,20,82715114,22.616804
11:27:18,-67,7.8,-97,-10,-67.7,-97.2,-9.1,20,96988058,22.8367104
11:27:23,-67,5.2,-97,-10,-68,-96,-10.7,20,108473224,18.3762656
11:27:27,-67,8.8,-97,-10,-66.1,-97.8,-9.8,20,120858688,24.770928
11:27:32,-67,11,-97,-10,-65.3,-97,-10.9,20,129592028,13.973344
11:27:36,-67,8.6,-97,-10,-67.2,-95.9,-9.6,20,142873296,26.562536
11:27:41,-67,5.6,-97,-10,-68.9,-94.7,-10.1,20,157372438,23.1986272
11:27:45,-67,10,-97,-10,-68,-96.2,-8.9,20,171107600,27.470324
11:27:50,-67,8.2,-97,-10,-65.4,-94.7,-8.6,20,187327944,25.9525504
11:27:55,-67,7.8,-97,-10,-60.7,-93.8,-10.1,20,203115366,25.2598752
11:27:59,-58,18,-88,-10,-66.3,-92.2,-8.6,20,219979850,33.728968
11:28:04,-66,4.6,-98,-10,-69.4,-99.7,-10.5,20,228184396,13.1272736
11:28:09,-72,0.2,-104,-10,-72.4,-102.6,-11.7,20,234813046,10.60584
11:28:13,-72,9,-97,-10,-68.1,-95.3,-9.7,20,248420878,27.215664
11:28:18,-72,7.4,-97,-10,-66.8,-93.8,-8.5,20,265944482,28.0377664
11:28:22,-64,9.2,-97,-10,-64.3,-95.5,-11.9,20,281039828,30.190692
