Time,RSSI(dBm),ECIO(dB),CELL RSCP(dBm),CELL ECIO(dB),SENT BYTES,RATE(MBit/s)
11:30:12,-76,-8.5,-121,-25,25010656,12.9451168
11:30:16,-76,-3.5,-92,-21,33164270,16.307228
11:30:21,-76,-7,-89,-23,41018284,12.5664224
11:30:25,-76,-8.5,-121,-31,49171898,16.307228
11:30:30,-76,-4,-121,-31,57321018,13.038592
11:30:35,-69,-4,-80,-14,66460316,14.6228768
11:30:40,-69,-4,-87,-17,74314330,12.5664224
11:30:44,-69,-4,-95,-24,82472438,16.316216
11:30:49,-69,-4,-89,-17,90933142,13.5371264
11:30:53,-69,-2.5,-121,-26,99083760,16.301236
11:30:58,-69,-2.5,-85,-18,106955750,12.595184
11:31:02,-69,-3,-87,-14,115110862,16.310224
11:31:07,-69,-3,-91,-17,122958884,12.5568352
11:31:11,-69,-3,-121,-25,130811400,15.705032
11:31:16,-69,-3,-89,-15,138966512,13.0481792
11:31:20,-64,-3,-83,-22,147114134,16.295244
11:31:25,-64,-3,-98,-14,155263254,13.038592
11:31:29,-85,-5.5,-100,-20,162500092,14.473676
11:31:34,-85,-5.5,-121,-25,170655204,13.0481792
11:31:39,-85,-9,-114,-22,178197634,12.067888
11:31:43,-85,-6,-109,-19,185750550,15.105832
11:31:48,-91,-8,-107,-17,193000870,11.600512
11:31:52,-91,-9.5,-110,-19,199945598,13.889456
11:31:57,-91,-11,-107,-16,206968222,11.2361984
11:32:02,-97,-9.5,-100,-10,214735352,12.427408
11:32:07,-97,-9.5,-107,-18,222592362,12.571216
11:32:11,-97,-7.5,-112,-24,229833694,14.482664
11:32:15,-97,-10,-107,-17,236773928,13.880468
11:32:20,-97,-8.5,-107,-16,244927542,13.0457824
11:32:25,-97,-8.5,-111,-19,252176364,11.5981152
11:32:29,-97,-8.5,-103,-18,259934506,15.516284
11:32:34,-97,-6,-102,-14,267575804,12.2260768
11:32:38,-91,-6,-97,-9,275828286,16.504964
11:32:43,-85,-8.5,-98,-15,283376708,12.0774752
11:32:47,-91,-6.5,-101,-12,291221734,15.690052
11:32:52,-82,-4,-106,-23,299077246,12.5688192
11:32:56,-82,-4,-99,-24,306925268,15.696044
11:33:01,-90,-6,-100,-16,314771792,12.5544384
11:33:06,-90,-9,-101,-15,322622810,12.5616288
