Time,RSSI(dBm),SNR(dB),RSRP(dBm),RSRQ(dB),CELL RSSI(dBm),CELL RSRP(dBm),CELL RSRQ(dB),AVAILABLE BANDWIDTH(MHz),SENT BYTES,RATE(MBit/s)
10:20:26,-58,15,-87,-7,-56.5,-88.2,-7.9,20,96616554,47.21696
10:20:31,-58,17.2,-87,-7,-62,-88.7,-7.3,20,120743342,38.6028608
10:20:35,-58,17.2,-87,-7,-61.8,-88.5,-8.3,20,143851490,46.216296
10:20:40,-58,17,-87,-7,-62.1,-88.5,-7.4,20,166451816,36.1605216
10:20:44,-58,16.8,-87,-7,-61.7,-88.5,-7.5,20,189314292,45.724952
10:20:49,-58,16.6,-87,-7,-59.3,-88.9,-7.2,20,212882326,37.7088544
10:20:53,-58,16.4,-87,-7,-61.5,-88.7,-7.8,20,229932562,34.100472
10:20:58,-58,16.6,-87,-7,-61.9,-88.7,-7.5,20,251777896,34.9525344
10:21:02,-58,16.6,-87,-7,-62.2,-88.8,-7.6,20,273689142,43.822492
10:21:07,-58,14.6,-87,-7,-62,-88.7,-7.9,20,294855882,33.866784
10:21:11,-58,15.2,-87,-7,-62.1,-88.9,-7.5,20,316112502,42.51324
10:21:16,-58,16.2,-87,-7,-62.3,-89.6,-8.5,20,336748950,33.0183168
10:21:21,-58,15.2,-87,-7,-62.4,-89.4,-8.4,20,359473610,36.359456
10:21:25,-58,16,-87,-7,-62.8,-89.7,-7.8,20,382033490,45.11976
10:21:30,-58,15.4,-87,-7,-62.1,-88.9,-7.8,20,405594034,37.6968704
10:21:35,-58,16.6,-87,-7,-62,-88.8,-7.4,20,429463166,38.1906112
10:21:39,-58,16.6,-87,-7,-62.1,-89.1,-7.3,20,431599314,4.272296
10:42:38,-57,17.4,-87,-13,-56.4,-88,-11.1,20,515464844,0.540631942
10:42:42,-57,15.8,-87,-13,-57.6,-87.5,-9.1,20,522851482,14.773276
10:42:47,-57,16.8,-87,-8,-61.5,-88.3,-7.4,20,545203140,35.7626528
