Time,RSSI(dBm),ECIO(dB),CELL RSCP(dBm),CELL ECIO(dB),SENT BYTES,RATE(MBit/s)
10:01:32,-87,-9,-99,-14,41626512,12.71802
10:01:37,-87,-4,-98,-14,49476032,12.559232
10:01:41,-87,-4,-100,-20,57632642,16.31322
10:01:46,-87,-10,-99,-23,65855164,13.1560352
10:01:51,-87,-8,-98,-17,74311374,13.529936
10:01:55,-87,-4,-100,-19,82470980,16.319212
10:02:00,-87,-10.5,-97,-15,90320500,12.559232
10:02:04,-87,-3.5,-101,-20,98481604,16.322208
10:02:09,-87,-3.5,-101,-19,106334120,12.5640256
11:27:04,-88,-5.5,-121,-25,50969498,15.68406
11:27:09,-88,-5.5,-103,-22,58823512,12.5664224
11:27:13,-88,-5.5,-104,-20,66538212,15.4294
11:27:18,-88,-5.5,-104,-24,75283536,13.9925184
11:27:23,-88,-5.5,-96,-20,83143542,12.5760096
11:27:27,-88,-5.5,-96,-14,91288168,16.289252
11:27:32,-88,-5.5,-105,-23,99437288,13.038592
11:27:36,-88,-5.5,-94,-17,107286808,15.69904
11:27:41,-88,-5.5,-100,-22,114535630,11.5981152
11:27:45,-88,-5.5,-98,-24,122386648,15.702036
11:27:50,-82,-4,-99,-17,131136466,13.9997088
11:27:55,-81,-4,-99,-18,138982990,12.5544384
11:27:59,-75,-4,-121,-25,146832510,15.69904
11:28:04,-82,-6,-94,-15,154377936,12.0726816
11:28:09,-82,-6,-92,-17,161924860,12.0750784
11:28:13,-82,-6,-93,-20,168865094,13.880468
11:28:18,-82,-6,-100,-22,175800834,11.097184
11:28:22,-82,-8,-121,-25,184251052,16.900436
11:28:27,-82,-5,-97,-23,191797976,12.0750784
11:28:31,-82,-5,-121,-25,199042304,14.488656
11:28:36,-82,-5,-121,-31,207195918,13.0457824
11:28:40,-91,-6.5,-105,-18,214142144,13.892452
11:28:45,-85,-6.5,-107,-18,218063908,6.2748224
11:28:50,-101,-11,-109,-18,223796754,9.1725536
11:28:55,-101,-11,-107,-18,231337686,12.0654912
11:28:59,-101,-6,-106,-18,238883112,15.090852
11:29:04,-93,-6,-121,-26,246509430,12.2021088
11:29:08,-93,-6,-99,-15,253457154,13.895448
11:29:13,-93,-6,-100,-11,259489600,9.6519136
11:29:17,-99,-10,-96,-7,264373080,9.76696
11:29:22,-99,-8.5,-107,-19,271557488,11.4950528
11:29:26,-93,-5.5,-102,-15,278661004,14.207032
11:29:31,-87,-8.5,-105,-20,286245378,12.1349984
11:29:35,-87,-5,-110,-21,293492702,14.494648
11:29:40,-87,-7,-101,-16,301090558,12.1565696
11:29:44,-87,-7,-108,-21,308943074,15.705032
11:29:49,-87,-5.5,-100,-16,317188066,13.1919872
11:29:54,-87,-7.5,-102,-17,324129798,11.1067712
11:29:58,-87,-8.5,-113,-23,329864142,11.468688
11:30:03,-87,-8.5,-107,-23,337415560,12.0822688
11:30:07,-87,-6.5,-109,-21,344962484,15.093848
11:30:12,-87,-4,-81,-8,352510906,12.0774752
11:30:17,-77,-4,-94,-21,360722942,13.1392576
11:30:21,-77,-4,-91,-11,368872062,16.29824
11:30:26,-85,-4,-100,-22,377024178,13.0433856
11:30:30,-85,-4,-94,-13,385179290,16.310224
11:30:35,-85,-4,-93,-18,393338896,13.0553696
11:30:39,-85,-4,-86,-18,401489514,16.301236
11:30:44,-78,-5.5,-95,-22,409638634,13.038592
11:30:49,-66,-3,-73,-18,418386954,13.997312
11:30:53,-72,-3,-90,-21,426537572,16.301236
11:30:58,-72,-3,-81,-23,434686692,13.038592
11:31:02,-61,-3,-80,-24,442566172,15.75896
11:31:07,-61,-3,-83,-24,451019386,13.5251424
11:31:11,-61,-3,-121,-26,459170004,16.301236
11:31:16,-61,-3,-75,-15,467924316,14.0068992
11:31:21,-61,-3,-74,-15,476074934,13.0409888
11:31:25,-61,-3,-73,-15,484225552,16.301236
11:31:30,-61,-10,-66,-15,492376170,13.0409888
11:31:34,-61,-10,-70,-15,500520796,16.289252
11:31:39,-67,-10,-75,-15,508672912,13.0433856
11:31:43,-61,-10,-70,-15,516825028,16.304232
11:31:48,-68,-7,-73,-15,525931370,14.5701472
11:31:53,-68,-3.5,-80,-15,534389078,13.5323328
11:31:58,-68,-3.5,-82,-15,542538198,13.038592
11:32:02,-82,-3.5,-98,-16,550688816,16.301236
11:32:06,-82,-3.5,-89,-12,558541332,15.705032
11:32:15,-107,-15,-111,-19,568198938,8.5845386667
11:33:16,-101,-9.5,-105,-16,647915008,10.4545665574
11:33:21,-101,-7.5,-113,-23,655761532,12.5544384
11:33:25,-101,-7.5,-108,-17,663010354,14.497644
11:33:30,-101,-9,-110,-19,669947592,11.0995808
11:33:34,-101,-9,-111,-20,676589724,13.284264
11:33:39,-101,-7.5,-111,-22,683532954,11.109168
11:33:43,-101,-7.5,-100,-19,691382474,15.69904
11:33:48,-84,-4.5,-95,-20,699831194,13.517952
11:33:53,-84,-4.5,-91,-17,707673224,12.547248
11:33:57,-84,-4.5,-88,-15,716426038,17.505628
11:34:02,-84,-4.5,-94,-18,724578154,13.0433856
11:34:06,-78,-4.5,-92,-9,732728772,16.301236
11:34:11,-78,-6,-94,-19,740581288,12.5640256
11:34:16,-78,-7.5,-93,-16,748264530,12.2931872
11:34:20,-78,-9,-82,-8,756114050,15.69904
11:34:25,-78,-5.5,-98,-20,763665468,12.0822688
11:34:30,-78,-5.5,-96,-20,772117184,13.5227456
11:34:34,-78,-4,-95,-24,779968202,15.702036
11:34:39,-78,-8,-92,-24,787693388,12.3602976
11:34:43,-78,-6.5,-103,-20,795357156,15.327536
11:34:48,-78,-6.5,-105,-17,802424720,11.3081024
11:34:52,-78,-6.5,-104,-19,809979134,15.108828
11:34:57,-84,-9,-95,-9,817527556,12.0774752
11:35:01,-84,-9,-106,-20,824834800,14.614488
11:35:06,-91,-9,-101,-18,831778030,11.109168
11:35:10,-91,-6,-104,-16,839023856,14.491652
11:35:15,-91,-5,-99,-11,845970082,11.1139616
11:35:19,-98,-9,-91,-9,853212912,14.48566
11:35:24,-87,-7.5,-102,-22,861062432,12.559232
11:35:28,-87,-6,-89,-5,868911952,15.69904
11:35:33,-87,-6,-97,-11,876460374,12.0774752
11:35:37,-87,-6,-121,-27,884311392,15.702036
11:35:42,-73,-3,-90,-20,892183382,12.595184
11:35:46,-73,-4.5,-93,-19,898827012,13.28726
11:35:51,-83,-4.5,-102,-16,906670540,12.5496448
11:35:55,-83,-4.5,-103,-22,911539040,9.737
11:36:00,-89,-4.5,-100,-15,916717626,8.2857376
11:36:04,-82,-3,-98,-21,921542684,9.650116
11:36:09,-82,-3,-100,-17,928186314,10.629808
11:36:13,-82,-4.5,-97,-17,935740728,15.108828
11:36:18,-82,-4.5,-95,-12,941181464,8.7051776
11:36:22,-82,-4.5,-98,-22,948977056,15.591184
11:36:27,-70,-2.5,-91,-23,956327742,11.7610976
11:36:31,-91,-10,-91,-13,964172768,15.690052
11:36:36,-91,-6,-83,-7,971721190,12.0774752
11:36:41,-75,-2.5,-80,-19,980175902,13.5275392
11:36:45,-57,-2.5,-90,-18,988155748,15.959692
11:36:50,-64,-2.5,-89,-18,996312358,13.050576
11:36:54,-64,-2.5,-86,-12,1004462976,16.301236
11:36:59,-77,-2.5,-86,-13,1012613594,13.0409888
11:37:03,-77,-2.5,-93,-15,1020765710,16.304232
11:37:08,-83,-2.5,-87,-24,1028913332,13.0361952
11:37:12,-59,-2.5,-84,-18,1037063950,16.301236
11:37:17,-71,-2.5,-87,-18,1045518662,13.5275392
11:37:22,-71,-4,-121,-25,1053664786,13.0337984
11:37:26,-78,-4,-85,-11,1060915106,14.50064
11:37:31,-78,-2.5,-90,-13,1069061230,13.0337984
11:37:35,-78,-2.5,-90,-16,1076909252,15.696044
11:37:40,-78,-2.5,-94,-11,1084760270,12.5616288
11:37:44,-84,-6,-97,-14,1092942346,16.364152
11:37:49,-84,-6,-104,-18,1100790368,12.5568352
11:37:53,-84,-6,-104,-15,1108632398,15.68406
11:37:58,-84,-4.5,-102,-15,1116171832,12.0630944
11:38:02,-92,-4.5,-102,-15,1124028842,15.71402
11:38:07,-92,-4.5,-92,-11,1131872370,12.5496448
11:38:11,-92,-5,-103,-15,1140016996,16.289252
11:38:16,-92,-5,-98,-8,1147261324,11.5909248
11:38:20,-101,-8,-104,-14,1154420266,14.317884
11:38:25,-101,-6.5,-109,-24,1161693056,11.636464
11:38:29,-92,-4,-104,-18,1169542576,15.69904
11:38:34,-86,-4,-99,-21,1177693194,13.0409888
11:38:38,-86,-4,-100,-23,1185243114,15.09984
11:38:43,-86,-4,-104,-15,1193390736,13.0361952
11:38:47,-95,-7,-103,-16,1200035864,13.290256
11:38:52,-95,-9.5,-111,-20,1203361424,5.320896
11:38:56,-95,-11,-109,-17,1204868412,3.013976
11:39:10,-95,-9,-106,-22,1221795812,9.6728
11:39:14,-88,-5.5,-102,-23,1229341238,15.090852
11:39:19,-88,-4,-109,-24,1237192256,12.5616288
11:39:23,-80,-3.5,-95,-24,1245344372,16.304232
11:39:28,-80,-9.5,-88,-14,1253488998,13.0314016
11:39:32,-70,-5,-82,-18,1261337020,15.696044
11:39:37,-70,-6.5,-80,-16,1269188038,12.5616288
